Term,Term-id,Term-frequency
condoms,6313,1
hashtags,5676,1
runner,7564,1
candidatos,7133,2
educationrace,2192,1
kickstarted,3975,2
guide,4300,2
honors,6347,1
passed,2259,1
fight,76,18
passes,1968,2
mariah,5006,1
showed,7059,1
turning,2834,3
danced,7982,1
staring,1660,8
shacky,5052,1
2b,7117,1
points,320,56
stamps,622,9
opportunities,2430,2
brain,2931,6
#electionfyc,7423,1
#coffeeteaorme,6643,1
turn,123,25
fedex,4562,1
niggahh,8072,1
recommends,3191,1
billionaire,2808,7
twilight,5770,1
builder,8204,1
#ca,4244,1
#yourajoke,2849,1
favorite,2484,6
compassion,2858,2
#com363,3743,1
imaginehere,3160,2
afraid,3813,5
shower,5821,3
ways,637,7
born,2799,4
soooo,1758,4
bore,1117,2
headass,8510,1
netta,8034,1
probes,7993,1
loops,3805,1
#romneyryan2012,97,79
figure,1231,6
shilling,7214,1
civil,7816,4
crisis,4489,5
tailored,4140,1
surplus,7056,2
americansounding,5520,1
jut,4062,1
stammer,6635,1
jus,2314,9
#eua,6007,1
boss,848,6
predicted,1395,2
fault,6063,3
combined,2444,1
#rootstrikers,5117,1
worrying,7541,1
#aw,4701,1
ccott,6272,1
comena,7834,1
freeman,8118,1
feat,6659,1
actions,4028,2
prohibition,6321,1
fear,5779,1
relating,6751,2
salad,3263,1
detail,4934,1
wlatin,7211,1
gettin,6030,2
traduzindo,6836,2
thai,7477,1
#funny,3720,2
contacts,7881,1
#patchpolitics,659,3
#letsdebate,7878,1
affected,6575,2
that'll,2744,3
habla,607,2
foreclosure,1022,3
chuckles,2847,1
#debate2k12,5246,1
democrat,152,5
timing,5313,1
stump,3491,4
boul,3793,1
#grok,3775,1
civility,4019,1
relation,7725,1
white,627,37
worthy,5624,1
properly,7604,1
basicly,2165,1
teleprompters,5153,1
pageant,3174,2
thay,6133,1
#what,3938,1
anus,7442,1
model,5802,1
similarities,5832,1
bloomberg,7658,1
haircut,5084,1
raced,2883,1
#hasthag,7803,1
infinity,8508,1
elaborate,7424,1
brace,6448,1
monopolies,4327,1
swordfight,2483,1
crises,6592,1
traditionally,2782,2
feed,2837,11
accent,3247,7
4m,7646,1
popularity,4962,1
sayyou,7188,1
goood,2199,1
bowl,1563,4
feel,353,72
girls,4365,7
unintelligent,6681,1
crucial,911,1
rollgoldman,3903,1
2t,4248,1
fees,3202,1
infinite,6174,1
organic,8380,1
#votingstatus,8048,1
#over,5110,1
whoever,1053,7
directed,4043,1
scribble,3087,1
eyebrows,8212,1
tight,3208,4
masters,5352,1
suffering,7932,1
faistoi,7759,1
bouta,3567,2
#doit,8028,1
eastwood,4358,1
carnage,7812,1
simultaneously,3176,2
ancient,7096,1
whisper,1470,2
intimate,8389,1
malibu,3927,1
#ricksantorum,8184,1
choose,372,9
speaking,27,36
presidentdamn,5726,1
wishes,701,14
#planning,7905,1
putting,1035,6
pregunta,2214,1
hookin,8479,1
rejoices,8197,1
45m,5506,1
wished,2230,8
budgeting,3443,1
#moresolyndras,6016,1
boosie,6072,1
whooville,7715,1
google,6573,4
episode,485,3
tiger,2434,1
comedy,2167,5
#swagg,4745,1
failed,640,13
rebuilding,6789,1
rarely,1872,2
wand,7945,1
#hachat,6255,1
#freedoms,4033,1
night's,6121,1
#lie1,6812,1
boston,6139,1
accurate,755,2
50mil,8270,1
schoolmy,7679,1
want,92,207
peasants,7224,1
hence,6169,1
steal,2766,4
edge,2385,3
crisp,1822,2
trickling,4847,5
access,3696,2
based,922,4
hates,3570,5
crips,3014,2
#waltforpresident,4969,1
hated,943,3
mittenswe,1219,1
solutions,1712,7
equilibrado,610,1
shocked,3638,1
educator,8210,1
immaculate,1893,1
bold,5080,3
sliding,6434,1
turned,3414,5
directly,718,19
#lies,1356,2
pierde,8135,1
dwight,4982,1
thrown,7600,2
succeed,4398,7
potus,709,26
solidified,3499,1
1trillion,7655,1
throws,4882,3
campaigns,8165,1
#factcheckthis,6521,1
#sadtweet,3760,1
gerry,3798,1
advising,7842,1
sense,1343,9
staying,2299,4
bully,5970,1
rommney,4015,2
pierce,2235,1
coinciden,7134,1
popular,798,7
sitdown,5319,1
wave,6163,4
contestants,3261,1
feelings,8350,1
friend,739,9
econmico,8139,1
econmicas,7735,1
stop,52,46
oooohhh,5778,1
warm,2542,3
voice,1008,54
booming,2096,2
seamus,450,1
sexist,5021,1
wars,1389,2
pretty,1332,30
stocks,4337,1
merely,4445,2
#decision2012,1506,17
tentacle's,4210,1
#yyj,3513,1
meat,6049,1
#getglue,2251,1
wash,3925,1
mean,71,38
lehrer,749,28
offense,1898,4
dbate,8102,1
brake,7820,1
letterman,6611,1
marine,7481,1
anny,7418,1
#mastahdebates,6731,1
office,1041,27
boos,8393,2
#mitt's,519,3
mistake,8003,2
matter,586,17
10mins,8412,1
soapy,7997,1
str8,6395,1
naturally,6122,1
ctfuu,558,1
domestic,228,11
rules,1454,10
manual,5310,1
#debate#dnc,7327,1
anni,7165,1
#edchat,459,1
steer,3331,1
#marriageequality,7924,1
book,3641,4
boom,2826,3
substantive,7132,2
anne,7686,1
soort,8336,1
sally,7491,1
ballsack,3154,1
theta,3470,1
bright,7861,1
cazal,8370,1
joke#denverdebate,1961,1
#redandglassyalwaysclassy,7364,1
bacon,5539,1
parts,1465,7
party,729,25
spoke,2490,5
promoting,4268,1
schooling,1824,1
tens,5638,1
theorists,7382,1
objects,2353,1
hungry,2103,7
intelligence,7776,1
billy,6615,1
botox,1717,7
defenses,6165,1
recession,112,2
oscars,6977,1
romneythere,7675,1
offers,6889,3
tema,7135,1
#parishgov,8499,1
project,7728,1
#uppers,6081,3
indepedent,4396,1
bedanken,4835,1
discuss,227,5
ohmygod,5483,1
opening,431,42
parte,7154,1
annoying,267,8
robotic,7330,1
damning,2246,1
#trickeldowngovernment,1629,1
bills,3180,6
empathetic,3569,1
sacrificial,4331,1
haaaate,4725,1
sidelines,6172,1
rival,2580,1
refrain,4143,1
jason,5296,1
authority,7534,1
persuasive,6204,2
educators,116,2
tell,32,56
interesting,357,20
colorcode,8142,1
define,3021,3
1point,2804,1
moronic,5509,1
#simonforpresident,2031,1
slaves,4759,2
digging,4729,2
morning,599,6
tution,7899,1
mentoned,7072,1
catchy,2459,1
#fnrdebate,401,2
ham,5395,4
han,7042,1
rowdy,906,1
physical,2554,1
backg,2435,1
congress,4082,2
broadcast,2691,6
rightnow,2301,1
bikini,4048,1
wanting,651,5
component,3187,2
commons,8442,1
#romneylies,3396,2
criticizing,7607,1
haa,7229,1
climate,3781,2
#crosscuttingcleavages,5284,1
processes,8449,1
rebut,5829,1
#ugavotes,5915,1
