Phrase,TextRankScore,RakeDegScore,RakeFreqScore,RakeDBFScore
take ,3.728621,139.000000,63.000000,2.206349
ass ,5.764215,253.000000,89.000000,2.842697
shady ,0.717000,7.000000,3.000000,2.333333
retirement home ,1.198461,21.000000,10.000000,4.111111
million ,2.305518,58.000000,21.000000,2.761905
people ,4.305414,257.000000,115.000000,2.234783
food stamps now ,5.556454,295.000000,107.000000,9.477272
obama ,15.681776,1709.000000,751.000000,2.275632
president ,9.492084,864.000000,378.000000,2.285714
president obama ,25.173860,2573.000000,1129.000000,4.561346
thinkin right now ,8.768247,455.000000,166.000000,8.495215
da white house fuckin ,4.850479,136.000000,51.000000,10.000000
wife right now ,9.779124,465.000000,172.000000,7.495215
gotta look ,3.848953,264.000000,110.000000,5.346535
bad ,1.398631,48.000000,26.000000,1.846154
watch ,2.777638,125.000000,70.000000,1.785714
#denverdebate ,3.231945,89.000000,43.000000,2.069767
visualize ,0.000000,1.000000,1.000000,1.000000
#snl skit ,1.272411,12.000000,6.000000,4.000000
idk ,0.783198,15.000000,9.000000,1.666667
really ,2.617326,213.000000,89.000000,2.393258
think ,2.038104,179.000000,97.000000,1.845361
make america energy independent ,14.672932,628.000000,271.000000,9.866160
wanting ,0.612051,5.000000,5.000000,1.000000
invest ,2.768046,76.000000,45.000000,1.688889
mittens ,1.020794,21.000000,12.000000,1.750000
romney stfu ,29.868087,4238.000000,1461.000000,5.268464
presence ,0.566120,6.000000,3.000000,2.000000
#romney says ,7.663640,442.000000,173.000000,5.107056
concerned ,0.332470,3.000000,3.000000,1.000000
path ,1.210036,20.000000,11.000000,1.818182
successful ,0.670569,5.000000,2.000000,2.500000
people expect obama ,20.690182,1988.000000,875.000000,6.954859
clean ,1.180398,12.000000,6.000000,2.000000
worst economy america ,7.862025,240.000000,126.000000,5.864867
seen ,1.222738,18.000000,7.000000,2.571429
great depression ,3.269736,57.000000,28.000000,3.924242
one term ,4.393161,214.000000,96.000000,4.654309
stop ,1.817494,81.000000,33.000000,2.454545
even deal ,3.088017,223.000000,93.000000,4.890805
looking ,2.080831,112.000000,48.000000,2.333333
mitt romney's face ,32.978039,4211.000000,1347.000000,8.989832
look ,2.754470,237.000000,101.000000,2.346535
camera ,0.686794,6.000000,5.000000,1.200000
mitt romney dumb ,55.448653,7994.000000,2659.000000,8.464384
hell ,1.461530,62.000000,31.000000,2.000000
lol cutting small business ,19.016045,948.000000,310.000000,11.240934
take ,3.728621,139.000000,63.000000,2.206349
bunch ,0.998702,9.000000,8.000000,1.125000
followers ,0.422914,6.000000,4.000000,1.500000
see ,2.616374,139.000000,81.000000,1.716049
ton ,0.559020,6.000000,4.000000,1.500000
ranting tweets ,1.892050,45.000000,25.000000,3.791667
much ,2.771060,124.000000,63.000000,1.968254
hate romney ,29.925887,4303.000000,1490.000000,5.179828
care ,1.722319,40.000000,27.000000,1.481481
anyone says obama ,20.946353,2007.000000,862.000000,7.360402
going ,3.576472,247.000000,143.000000,1.727273
president ,9.492084,864.000000,378.000000,2.285714
presidential debate ,11.589256,612.000000,305.000000,4.534804
starting ,0.949457,10.000000,8.000000,1.250000
morning ,1.010796,3.000000,3.000000,1.000000
proper education ,3.908578,101.000000,61.000000,3.644068
mitt romney ,53.459348,7924.000000,2630.000000,6.050591
pay ,3.736937,169.000000,76.000000,2.223684
tax ,5.718614,221.000000,95.000000,2.326316
mitt romney ,53.459348,7924.000000,2630.000000,6.050591
pay ,3.736937,169.000000,76.000000,2.223684
tax ,5.718614,221.000000,95.000000,2.326316
anybody notice ,1.956402,24.000000,11.000000,4.400000
obama ,15.681776,1709.000000,751.000000,2.275632
team #teamobama ,3.867790,102.000000,46.000000,4.816667
romney ,28.494119,4212.000000,1450.000000,2.904828
just #romney2012 ,7.886576,1053.000000,365.000000,5.141967
minutes ,1.745874,44.000000,33.000000,1.333333
#debates ,7.845891,319.000000,156.000000,2.044872
potus ,0.847086,18.000000,9.000000,2.000000
already hijacked ,4.307305,270.000000,104.000000,4.601942
term topdown ,2.001936,39.000000,18.000000,3.861538
hostile takeover ,0.000000,4.000000,2.000000,4.000000
like ,12.308358,1287.000000,430.000000,2.993023
prez obama ,16.532126,1716.000000,756.000000,3.675632
blowing shit ,5.828853,272.000000,130.000000,3.443569
know ,3.410289,240.000000,145.000000,1.655172
kind ,1.377963,27.000000,24.000000,1.125000
retarded ,0.000000,1.000000,1.000000,1.000000
weird ,0.758542,14.000000,9.000000,1.555556
friend ,0.614925,7.000000,6.000000,1.166667
mitt romney ,53.459348,7924.000000,2630.000000,6.050591
dumb ass dude ,9.284580,368.000000,140.000000,7.301945
college students need ,6.105569,178.000000,99.000000,6.486843
vote ,3.715183,150.000000,96.000000,1.562500
obama ,15.681776,1709.000000,751.000000,2.275632
want ,3.983318,228.000000,134.000000,1.701493
tuitions ,0.000000,1.000000,1.000000,1.000000
go ,3.080111,137.000000,72.000000,1.902778
never realized ,2.177530,103.000000,43.000000,4.404762
accurate ,0.427344,3.000000,2.000000,1.500000
presidential imitators actors ,3.919600,186.000000,68.000000,8.727273
obama ,15.681776,1709.000000,751.000000,2.275632
romney ,28.494119,4212.000000,1450.000000,2.904828
someone ,1.763264,47.000000,21.000000,2.238095
advise ,0.000000,1.000000,1.000000,1.000000
romney stickers ,28.771610,4217.000000,1452.000000,5.404828
cars ,0.000000,1.000000,1.000000,1.000000
safety risk ,0.278261,5.000000,3.000000,3.500000
might get hit ,10.417402,503.000000,221.000000,6.004511
now ,3.978994,230.000000,88.000000,2.613636
idea ,0.992760,40.000000,20.000000,2.000000
mitt romney even looked like ,68.874238,9440.000000,3153.000000,14.934419
watch politics ,4.830591,171.000000,103.000000,3.179653
watch ,2.777638,125.000000,70.000000,1.785714
bank account ,0.418123,9.000000,3.000000,5.500000
mitt romney ,53.459348,7924.000000,2630.000000,6.050591
full ,1.861381,37.000000,22.000000,1.681818
shit eyeballs ,5.741633,271.000000,129.000000,3.610236
brown ,0.822173,6.000000,2.000000,3.000000
mitt romney says ,57.238251,8167.000000,2717.000000,8.843694
plan ,3.931130,149.000000,71.000000,2.098592
ever done ,3.533765,126.000000,57.000000,4.296675
downsize ,0.000000,1.000000,1.000000,1.000000
just laughed ,7.565750,1050.000000,364.000000,4.891967
ass ,5.764215,253.000000,89.000000,2.842697
romney said number ,31.538301,4471.000000,1542.000000,7.738161
allowed ,0.519466,4.000000,4.000000,1.000000
watch ,2.777638,125.000000,70.000000,1.785714
#debates ,7.845891,319.000000,156.000000,2.044872
#obama doesnt want ,10.252838,519.000000,244.000000,8.211493
talk ,1.999086,99.000000,49.000000,2.020408
done ,1.228910,42.000000,23.000000,1.826087
wants ,2.855353,145.000000,69.000000,2.101449
sans ,0.000000,1.000000,1.000000,1.000000
romney ,28.494119,4212.000000,1450.000000,2.904828
know ,3.410289,240.000000,145.000000,1.655172
takes ,2.708801,48.000000,37.000000,1.297297
