Word1,Word2,Likilihood Ratio,Frequency,Mean Distance,StandardDeviation,Variance
filthy,following,14.065809225993782,1,2.0,0.0,0.0
debt,health,11.205070084273942,1,3.0,0.0,0.0
sexy,self,15.617357398239768,1,1.0,0.0,0.0
goes,thats,9.046232068003945,1,2.0,0.0,0.0
plan,us,12.60075107375178,3,1.0,3.4641016151377544,12.0
jobs,increase,8.523099660191715,1,1.0,0.0,0.0
shouting,wife,18.15520694577981,2,3.0,0.0,0.0
romney,smaller,8.08793289308727,2,3.0,0.0,0.0
romney,supports,10.098428906117697,2,1.0,0.0,0.0
romney,comes,8.828113603847243,3,1.0,0.0,0.0
many,won,8.601741852367383,1,3.0,0.0,0.0
lls,ok,12.076377413864016,1,2.0,0.0,0.0
realistic,ideas,11.18712107924695,1,3.0,0.0,0.0
romney,writing,18.97375622171647,4,2.25,0.957427107756338,0.9166666666666665
realistic,romney,10.098428906117697,2,2.5,0.7071067811865476,0.5
look,bad,21.473145474715295,3,1.0,0.0,0.0
programs,states,11.130971342802269,1,2.0,0.0,0.0
speak,move,8.846713042966229,1,2.0,0.0,0.0
shut,romney,8.954737354713671,2,0.5,2.1213203435596424,4.5
haha,course,24.20004013564011,2,2.0,0.0,0.0
joke,followed,11.03599613598422,1,1.0,0.0,0.0
know,counters,9.525564029365448,1,3.0,0.0,0.0
spend,w,16.608228114793235,2,3.0,0.0,0.0
drink,lies,10.584414004159157,1,2.0,0.0,0.0
community,keeping,11.689524580578421,1,2.0,0.0,0.0
happy,barak,14.60812682970031,2,0.0,2.8284271247461903,8.0
va,mejor,16.29689530769746,1,1.0,0.0,0.0
time,presidential,13.747538260662623,4,1.75,2.5,6.25
hoping,much,8.393096717570046,1,2.0,0.0,0.0
gets,left,8.223453335788435,1,1.0,0.0,0.0
problem,nigger,14.374584822506066,1,2.0,0.0,0.0
mitt's,asked,8.002170011230845,1,2.0,0.0,0.0
leading,us,9.15500050629241,1,1.0,0.0,0.0
pell,grant,65.18699891115341,4,1.0,0.0,0.0
oh,wait,16.05181503517639,2,1.0,0.0,0.0
classy,move,12.768778478292521,1,1.0,0.0,0.0
kissing,comes,12.768778478292521,1,2.0,0.0,0.0
uses,word,12.47885863296753,1,1.0,0.0,0.0
wit,boys,17.343333359188808,1,2.0,0.0,0.0
darn,speakers,16.296895307688843,1,2.0,0.0,0.0
wife,#obamaisntworking,9.06682096692225,1,2.0,0.0,0.0
posing,questions,12.076377413864016,1,1.0,0.0,0.0
debate,time,15.942935313590624,6,0.33333333333333337,1.632993161855452,2.666666666666667
romney,brain,10.098428906117697,2,2.0,1.4142135623730951,2.0
difficult,patriot,16.296895307688843,1,3.0,0.0,0.0
billionaire,gotta,11.384865637979615,1,1.0,0.0,0.0
playing,drinking,20.046133035096148,2,2.5,0.7071067811865476,0.5
playing,game,18.74604730599077,2,3.0,0.0,0.0
stop,#forward2012,11.340944546222602,1,2.0,0.0,0.0
hearing,speak,9.142524884212747,1,2.0,0.0,0.0
studying,il,14.065809225993782,1,1.0,0.0,0.0
want,results,9.608735698039204,1,1.0,0.0,0.0
prepared,statement,10.281741722158031,1,1.0,0.0,0.0
sound,scary,11.50762988790008,1,1.0,0.0,0.0
#nbcpolitics,#election2012,8.64223561875491,1,1.0,0.0,0.0
congrats,barack,8.961824497438496,1,3.0,0.0,0.0
see,ruin,9.881366931714354,1,3.0,0.0,0.0
actual,questions,8.157458602495524,1,1.0,0.0,0.0
right,alright,16.93956177950234,2,2.0,1.4142135623730951,2.0
lot,bush's,9.546642363564246,1,3.0,0.0,0.0
really,brings,17.910392272013894,2,1.0,0.0,0.0
come,parties,10.682535245620883,1,3.0,0.0,0.0
gotta,jim,9.508496218589471,1,2.0,0.0,0.0
vote,#presidentialdebate,11.87072903799708,4,0.5000000000000001,2.3804761428476167,5.666666666666667
always,wear,9.508496218596775,1,1.0,0.0,0.0
ties,correct,9.948245763213933,1,2.0,0.0,0.0
close,solid,11.120947767025712,1,2.0,0.0,0.0
stupid,shit,21.066905687877927,2,1.0,0.0,0.0
bill,tonight,14.898044243096734,2,3.0,0.0,0.0
speaker,heard,9.690041347509833,1,3.0,0.0,0.0
got,divorce,10.197298179102738,1,2.0,0.0,0.0
always,community,9.30880238365711,1,2.0,0.0,0.0
nothing,#denverdebate,10.196333933272939,2,1.5,0.7071067811865476,0.5
wished,happy,57.8460987739941,6,2.666666666666667,0.5163977794943222,0.2666666666666666
interested,hearing,28.023415293446902,2,2.0,0.0,0.0
handed,shit,10.050196256275719,1,1.0,0.0,0.0
class,reminded,8.402839590004362,1,2.0,0.0,0.0
tries,change,12.368538274170419,1,2.0,0.0,0.0
generation,got,10.197298179102738,1,3.0,0.0,0.0
yes,massa,11.489174964032191,1,2.0,0.0,0.0
keep,open,13.471230158183118,2,0.0,2.8284271247461903,8.0
mitt's,day,10.362140032458768,1,2.0,0.0,0.0
use,energy,8.242299510503074,1,1.0,0.0,0.0
score,romney,10.098428906117697,2,3.0,0.0,0.0
boo,sense,10.834661390159425,1,3.0,0.0,0.0
coverage,presidential,13.446887554987,2,3.0,0.0,0.0
presidential,recommend,8.427045604753495,1,3.0,0.0,0.0
case,forget,25.095810918433415,2,2.0,0.0,0.0
prolly,got,8.477266881427802,1,1.0,0.0,0.0
many,retirement,11.563207704038145,1,3.0,0.0,0.0
talks,god,11.002927536408293,1,1.0,0.0,0.0
say,passing,9.817476781065526,1,2.0,0.0,0.0
bigger,smaller,9.879963512616882,1,3.0,0.0,0.0
#latism,yes,10.444251644827915,1,1.0,0.0,0.0
definition,everyone,12.176360855682308,1,2.0,0.0,0.0
yes,info,10.444251644827915,1,3.0,0.0,0.0
segment,students,11.347218430794996,1,3.0,0.0,0.0
jill,students,11.347218430794996,1,2.0,0.0,0.0
