Word,Prob,Freq,Index
games,0.00019,5,1505
list,0.00019,5,1438
blood,0.00019,5,1431
apparently,0.00019,5,1399
regardless,0.00019,5,1359
mormon,0.00019,5,1336
couple,0.00019,5,1302
le,0.00019,5,1299
manufacturing,0.00019,5,1288
god,0.00019,5,1272
amrica,0.00019,5,1257
con,0.00019,5,1256
screen,0.00019,5,1229
taken,0.00019,5,1225
nation,0.00019,5,1195
cry,0.00019,5,1177
beer,0.00019,5,1143
noise,0.00019,5,1140
bottom,0.00019,5,1061
shouting,0.00019,5,1055
fist,0.00019,5,1052
dirty,0.00019,5,1037
shot,0.00019,5,1001
strong,0.00019,5,957
rest,0.00019,5,953
yell,0.00019,5,939
suit,0.00019,5,913
ill,0.00019,5,890
progress,0.00019,5,861
#zingers,0.00019,5,819
uses,0.00019,5,818
almost,0.00019,5,813
laughed,0.00019,5,793
idea,0.00019,5,778
realized,0.00019,5,754
totally,0.00019,5,752
retarded,0.00019,5,737
#romney2012,0.00019,5,707
wonderful,0.00019,5,702
tough,0.00019,5,631
prove,0.00019,5,597
friends,0.00019,5,589
tune,0.00019,5,587
awesome,0.00019,5,582
kids,0.00019,5,542
seriously,0.00019,5,520
trust,0.00019,5,518
hold,0.00019,5,510
hopefully,0.00019,5,476
#jobs,0.00019,5,402
except,0.00019,5,369
shut,0.00019,5,341
believes,0.00019,5,334
seem,0.00019,5,287
awkward,0.00019,5,260
nearly,0.00019,5,255
d,0.00019,5,225
living,0.00019,5,135
media,0.00019,5,62
social,0.00019,5,61
fucking,0.00019,5,22
awww,0.00015,4,7783
dancing,0.00015,4,6576
http,0.00015,4,6430
wave,0.00015,4,6163
damned,0.00015,4,6157
nod,0.00015,4,6029
watchin,0.00015,4,5995
primer,0.00015,4,5990
trouble,0.00015,4,5801
dems,0.00015,4,5634
rally,0.00015,4,5618
3rd,0.00015,4,5526
style,0.00015,4,5491
sides,0.00015,4,5204
por,0.00015,4,5088
cost,0.00015,4,5032
votes,0.00015,4,4910
attacked,0.00015,4,4656
score,0.00015,4,4655
raman,0.00015,4,4305
aid,0.00015,4,4304
pretending,0.00015,4,4214
provide,0.00015,4,4196
educated,0.00015,4,4080
#forward2012,0.00015,4,4058
politicians,0.00015,4,4005
success,0.00015,4,3911
ignore,0.00015,4,3888
lord,0.00015,4,3842
quiet,0.00015,4,3830
reminded,0.00015,4,3826
larger,0.00015,4,3817
format,0.00015,4,3739
socialism,0.00015,4,3727
armand,0.00015,4,3722
shouts,0.00015,4,3711
ten,0.00015,4,3706
re,0.00015,4,3654
relaxed,0.00015,4,3642
book,0.00015,4,3641
flotus,0.00015,4,3583
#obama's,0.00015,4,3580
fly,0.00015,4,3577
simple,0.00015,4,3574
quality,0.00015,4,3518
segment,0.00015,4,3501
#denverdebates,0.00015,4,3494
ooh,0.00015,4,3484
grab,0.00015,4,3463
backdrop,0.00015,4,3437
cutest,0.00015,4,3424
per,0.00015,4,3410
inherited,0.00015,4,3374
quickly,0.00015,4,3372
een,0.00015,4,3319
whose,0.00015,4,3251
increased,0.00015,4,3218
#lnyhbt,0.00015,4,3205
join,0.00015,4,3117
worker,0.00015,4,3116
hit,0.00015,4,3077
scary,0.00015,4,3035
relate,0.00015,4,3002
addressed,0.00015,4,2999
comment,0.00015,4,2988
especially,0.00015,4,2977
puts,0.00015,4,2966
problems,0.00015,4,2937
faces,0.00015,4,2936
cnn's,0.00015,4,2872
flat,0.00015,4,2866
helped,0.00015,4,2835
gas,0.00015,4,2833
born,0.00015,4,2799
offered,0.00015,4,2794
#ows,0.00015,4,2778
lucky,0.00015,4,2706
broadcast,0.00015,4,2691
pass,0.00015,4,2673
somebody,0.00015,4,2647
nominee,0.00015,4,2544
route,0.00015,4,2500
added,0.00015,4,2440
fingers,0.00015,4,2397
#zinger,0.00015,4,2382
graph,0.00015,4,2373
green,0.00015,4,2371
feels,0.00015,4,2369
online,0.00015,4,2365
popcorn,0.00015,4,2356
sharp,0.00015,4,2352
proud,0.00015,4,2350
reading,0.00015,4,2297
factor,0.00015,4,2271
letting,0.00015,4,2243
talked,0.00015,4,2225
dice,0.00015,4,2221
republicans,0.00015,4,2210
kiss,0.00015,4,2169
companies,0.00015,4,2119
hurting,0.00015,4,2110
random,0.00015,4,2105
et,0.00015,4,2056
strategy,0.00015,4,2021
easy,0.00015,4,2019
anytime,0.00015,4,2000
test,0.00015,4,1969
similar,0.00015,4,1942
stream,0.00015,4,1939
yo,0.00015,4,1932
jacket,0.00015,4,1892
television,0.00015,4,1882
clinton,0.00015,4,1869
listen,0.00015,4,1854
empathy,0.00015,4,1851
forced,0.00015,4,1849
deny,0.00015,4,1844
yr,0.00015,4,1833
gone,0.00015,4,1825
aha,0.00015,4,1724
barry,0.00015,4,1703
